Order,Item,Container,Position,Rotation
166,1,3,"(0, 0, 0)",False
166,2,2,"(0, 0, 0)",False
167,1,0,"(0, 0, 0)",False
167,2,1,"(0, 0, 0)",False
167,3,3,"(0, 0, 0)",False
167,4,5,"(0, 0, 0)",False
168,1,3,"(0, 0, 0)",False
168,2,3,"(0, 0, 0)",False
168,3,3,"(0, 0, 0)",False
169,1,0,"(0, 0, 0)",False
169,2,4,"(0, 0, 0)",False
169,3,6,"(0, 0, 0)",False
169,4,3,"(0, 0, 0)",False
170,1,5,"(0, 0, 0)",False
170,2,7,"(0, 0, 0)",False
170,3,7,"(0, 0, 0)",False
171,1,5,"(0, 0, 0)",False
171,2,4,"(0, 0, 0)",False
171,3,0,"(0, 0, 0)",False
171,4,0,"(0, 0, 0)",False
172,1,5,"(0, 0, 0)",False
172,2,0,"(0, 0, 0)",False
172,3,6,"(0, 0, 0)",False
173,1,1,"(0, 0, 0)",False
173,2,0,"(0, 0, 0)",False
173,3,3,"(0, 0, 0)",False
173,4,6,"(0, 0, 0)",False
174,1,2,"(0, 0, 0)",False
174,2,1,"(0, 0, 0)",False
175,1,3,"(0, 0, 0)",False
175,2,4,"(0, 0, 0)",False
175,3,4,"(0, 0, 0)",False
176,1,4,"(0, 0, 0)",False
176,2,6,"(0, 0, 0)",False
176,3,7,"(0, 0, 0)",False
176,4,5,"(0, 0, 0)",False
176,5,3,"(0, 0, 0)",False
177,1,0,"(0, 0, 0)",False
177,2,3,"(0, 0, 0)",False
177,3,7,"(0, 0, 0)",False
177,4,3,"(0, 0, 0)",False
178,1,6,"(0, 0, 0)",False
178,2,4,"(0, 0, 0)",False
178,3,7,"(0, 0, 0)",False
179,1,0,"(0, 0, 0)",False
179,2,2,"(0, 0, 0)",False
180,1,6,"(0, 0, 0)",False
180,2,2,"(0, 0, 0)",False
180,3,6,"(0, 0, 0)",False
180,4,4,"(0, 0, 0)",False
181,1,6,"(0, 0, 0)",False
181,2,4,"(0, 0, 0)",False
181,3,5,"(0, 0, 0)",False
181,4,4,"(0, 0, 0)",False
181,5,5,"(0, 0, 0)",False
181,6,6,"(0, 0, 0)",False
181,7,0,"(0, 0, 0)",False
181,8,5,"(0, 0, 0)",False
181,9,3,"(0, 0, 0)",False
181,10,7,"(0, 0, 0)",False
181,11,5,"(0, 0, 0)",False
181,12,2,"(0, 0, 0)",False
181,13,2,"(0, 0, 0)",False
181,14,6,"(0, 0, 0)",False
182,1,3,"(0, 0, 0)",False
182,2,4,"(0, 0, 0)",False
183,1,1,"(0, 0, 0)",False
183,2,4,"(0, 0, 0)",False
183,3,5,"(0, 0, 0)",False
183,4,1,"(0, 0, 0)",False
183,5,1,"(0, 0, 0)",False
184,1,0,"(0, 0, 0)",False
184,2,6,"(0, 0, 0)",False
184,3,0,"(0, 0, 0)",False
185,1,5,"(0, 0, 0)",False
185,2,0,"(0, 0, 0)",False
185,3,1,"(0, 0, 0)",False
185,4,3,"(0, 0, 0)",False
185,5,4,"(0, 0, 0)",False
186,1,2,"(0, 0, 0)",False
186,2,6,"(0, 0, 0)",False
187,1,3,"(0, 0, 0)",False
187,2,5,"(0, 0, 0)",False
188,1,2,"(0, 0, 0)",False
188,2,7,"(0, 0, 0)",False
189,1,0,"(0, 0, 0)",False
189,2,7,"(0, 0, 0)",False
190,1,5,"(0, 0, 0)",False
190,2,4,"(0, 0, 0)",False
191,1,6,"(0, 0, 0)",False
191,2,1,"(0, 0, 0)",False
192,1,3,"(0, 0, 0)",False
192,2,1,"(0, 0, 0)",False
193,1,0,"(0, 0, 0)",False
193,2,5,"(0, 0, 0)",False
194,1,1,"(0, 0, 0)",False
194,2,1,"(0, 0, 0)",False
195,1,7,"(0, 0, 0)",False
195,2,2,"(0, 0, 0)",False
195,3,7,"(0, 0, 0)",False
196,1,3,"(0, 0, 0)",False
196,2,4,"(0, 0, 0)",False
196,3,0,"(0, 0, 0)",False
197,1,4,"(0, 0, 0)",False
197,2,7,"(0, 0, 0)",False
198,1,4,"(0, 0, 0)",False
198,2,7,"(0, 0, 0)",False
198,3,5,"(0, 0, 0)",False
198,4,2,"(0, 0, 0)",False
198,5,5,"(0, 0, 0)",False
199,1,2,"(0, 0, 0)",False
199,2,5,"(0, 0, 0)",False
200,1,1,"(0, 0, 0)",False
200,2,7,"(0, 0, 0)",False
200,3,6,"(0, 0, 0)",False
200,4,2,"(0, 0, 0)",False
201,1,0,"(0, 0, 0)",False
201,2,3,"(0, 0, 0)",False
202,1,0,"(0, 0, 0)",False
202,2,5,"(0, 0, 0)",False
202,3,0,"(0, 0, 0)",False
203,1,5,"(0, 0, 0)",False
203,2,1,"(0, 0, 0)",False
203,3,0,"(0, 0, 0)",False
204,1,6,"(0, 0, 0)",False
204,2,6,"(0, 0, 0)",False
204,3,1,"(0, 0, 0)",False
204,4,3,"(0, 0, 0)",False
205,1,1,"(0, 0, 0)",False
205,2,5,"(0, 0, 0)",False
205,3,3,"(0, 0, 0)",False
206,1,3,"(0, 0, 0)",False
206,2,4,"(0, 0, 0)",False
207,1,5,"(0, 0, 0)",False
207,2,0,"(0, 0, 0)",False
208,1,5,"(0, 0, 0)",False
208,2,0,"(0, 0, 0)",False
208,3,2,"(0, 0, 0)",False
209,1,7,"(0, 0, 0)",False
209,2,3,"(0, 0, 0)",False
210,1,5,"(0, 0, 0)",False
210,2,1,"(0, 0, 0)",False
211,1,7,"(0, 0, 0)",False
211,2,3,"(0, 0, 0)",False
212,1,6,"(0, 0, 0)",False
212,2,0,"(0, 0, 0)",False
213,1,4,"(0, 0, 0)",False
213,2,4,"(0, 0, 0)",False
213,3,1,"(0, 0, 0)",False
214,1,2,"(0, 0, 0)",False
214,2,7,"(0, 0, 0)",False
214,3,3,"(0, 0, 0)",False
215,1,4,"(0, 0, 0)",False
215,2,0,"(0, 0, 0)",False
216,1,2,"(0, 0, 0)",False
216,2,3,"(0, 0, 0)",False
216,3,7,"(0, 0, 0)",False
216,4,2,"(0, 0, 0)",False
217,1,4,"(0, 0, 0)",False
217,2,0,"(0, 0, 0)",False
218,1,4,"(0, 0, 0)",False
218,2,2,"(0, 0, 0)",False
